"price","dateoftransfer","yearchi","tfarea","laua","ldnm","region"
227500,2009-11-30,2009,53.74,"E07000208","Epsom and Ewell","South East"
215000,2009-12-14,2009,60.3,"E07000208","Epsom and Ewell","South East"
285000,2009-04-20,2009,92.47,"E07000208","Epsom and Ewell","South East"
3e+05,2009-10-16,2009,93.7,"E07000208","Epsom and Ewell","South East"
469000,2009-04-09,2009,142.1,"E07000208","Epsom and Ewell","South East"
170000,2009-07-28,2009,61,"E07000208","Epsom and Ewell","South East"
222500,2009-03-12,2009,90,"E07000208","Epsom and Ewell","South East"
220000,2009-05-15,2009,67.6,"E07000208","Epsom and Ewell","South East"
4e+05,2009-03-20,2009,214.16,"E07000208","Epsom and Ewell","South East"
218000,2009-10-30,2009,63.7,"E07000208","Epsom and Ewell","South East"
275000,2009-07-14,2009,74.26,"E07000208","Epsom and Ewell","South East"
360000,2009-12-11,2009,95.4,"E07000208","Epsom and Ewell","South East"
440000,2009-08-18,2009,100.87,"E07000208","Epsom and Ewell","South East"
425000,2009-09-01,2009,154.9,"E07000208","Epsom and Ewell","South East"
320000,2009-09-28,2009,86.2,"E07000208","Epsom and Ewell","South East"
95000,2009-10-16,2009,36.3,"E07000208","Epsom and Ewell","South East"
230000,2009-07-08,2009,82.64,"E07000208","Epsom and Ewell","South East"
540000,2009-08-12,2009,157.32,"E07000208","Epsom and Ewell","South East"
325000,2009-09-02,2009,96.04,"E07000208","Epsom and Ewell","South East"
133000,2009-12-18,2009,45.9419,"E07000208","Epsom and Ewell","South East"
285000,2009-10-16,2009,83.18,"E07000208","Epsom and Ewell","South East"
220000,2009-10-21,2009,63.51,"E07000208","Epsom and Ewell","South East"
235000,2009-10-01,2009,64.7,"E07000208","Epsom and Ewell","South East"
330000,2009-02-13,2009,99.1,"E07000208","Epsom and Ewell","South East"
645000,2009-09-25,2009,165.2,"E07000208","Epsom and Ewell","South East"
226000,2009-12-18,2009,70.2,"E07000208","Epsom and Ewell","South East"
360000,2009-10-07,2009,99.9,"E07000208","Epsom and Ewell","South East"
323000,2009-10-28,2009,86.4,"E07000208","Epsom and Ewell","South East"
160000,2009-11-16,2009,42.4,"E07000208","Epsom and Ewell","South East"
834200,2009-12-11,2009,214.33,"E07000208","Epsom and Ewell","South East"
725000,2009-08-14,2009,270.4,"E07000208","Epsom and Ewell","South East"
390000,2009-12-11,2009,101.34,"E07000208","Epsom and Ewell","South East"
290000,2009-11-26,2009,95.42,"E07000208","Epsom and Ewell","South East"
357500,2009-12-18,2009,70.5,"E07000208","Epsom and Ewell","South East"
490000,2009-11-10,2009,96.4,"E07000208","Epsom and Ewell","South East"
220000,2009-02-02,2009,104,"E07000208","Epsom and Ewell","South East"
229000,2009-08-28,2009,87.16,"E07000208","Epsom and Ewell","South East"
225000,2009-01-29,2009,106,"E07000208","Epsom and Ewell","South East"
215000,2009-12-18,2009,82.84,"E07000208","Epsom and Ewell","South East"
140000,2009-07-28,2009,56.11,"E07000208","Epsom and Ewell","South East"
155000,2009-10-14,2009,81.12,"E07000208","Epsom and Ewell","South East"
337000,2009-03-13,2009,90.36,"E07000208","Epsom and Ewell","South East"
195000,2009-12-09,2009,93.2,"E07000208","Epsom and Ewell","South East"
347000,2009-04-16,2009,124.52,"E07000208","Epsom and Ewell","South East"
214950,2009-07-31,2009,79.1,"E07000208","Epsom and Ewell","South East"
195000,2009-06-02,2009,52.4,"E07000208","Epsom and Ewell","South East"
5e+05,2009-09-07,2009,131.22,"E07000208","Epsom and Ewell","South East"
215000,2009-12-17,2009,47.32,"E07000208","Epsom and Ewell","South East"
2e+05,2009-04-24,2009,75.38,"E07000208","Epsom and Ewell","South East"
227500,2009-07-16,2009,73.71,"E07000208","Epsom and Ewell","South East"
280000,2009-09-07,2009,86.7,"E07000208","Epsom and Ewell","South East"
275000,2009-07-15,2009,91.2,"E07000208","Epsom and Ewell","South East"
144000,2009-01-05,2009,55.74,"E07000208","Epsom and Ewell","South East"
265000,2009-07-16,2009,89.72,"E07000208","Epsom and Ewell","South East"
215000,2009-12-11,2009,50.6,"E07000208","Epsom and Ewell","South East"
240000,2009-06-10,2009,92.43,"E07000208","Epsom and Ewell","South East"
149950,2009-11-27,2009,48.8,"E07000208","Epsom and Ewell","South East"
272000,2009-06-23,2009,102,"E07000208","Epsom and Ewell","South East"
