"","price","dateoftransfer","yearchi","tfarea","laua","ldnm","RGN11NM"
"1",139000,2009-12-10,2009,84.16,"E07000177","Cherwell","South East"
"2",218000,2009-01-05,2009,100.98,"E07000177","Cherwell","South East"
"3",250000,2009-07-31,2009,83.28,"E07000177","Cherwell","South East"
"4",152500,2009-07-17,2009,40,"E07000177","Cherwell","South East"
"5",340000,2009-10-23,2009,151.18,"E07000177","Cherwell","South East"
"6",157500,2009-12-21,2009,66,"E07000177","Cherwell","South East"
"7",180000,2009-09-03,2009,69.36,"E07000177","Cherwell","South East"
"8",352750,2009-02-09,2009,132.8,"E07000177","Cherwell","South East"
"9",199995,2009-06-19,2009,56.5,"E07000177","Cherwell","South East"
"10",183000,2009-12-22,2009,67.74,"E07000177","Cherwell","South East"
"11",395000,2009-10-27,2009,148.94,"E07000177","Cherwell","South East"
"12",202000,2009-08-28,2009,91,"E07000177","Cherwell","South East"
"13",105000,2009-02-27,2009,43.5,"E07000177","Cherwell","South East"
"14",187500,2009-12-30,2009,61.25,"E07000177","Cherwell","South East"
"15",237000,2009-01-19,2009,101.4,"E07000177","Cherwell","South East"
"16",582500,2009-04-24,2009,177.3,"E07000177","Cherwell","South East"
"17",240000,2009-01-12,2009,138.48,"E07000177","Cherwell","South East"
"18",165500,2009-07-17,2009,87.82,"E07000177","Cherwell","South East"
"19",350000,2009-10-09,2009,152.44,"E07000177","Cherwell","South East"
"20",235000,2009-12-09,2009,98,"E07000177","Cherwell","South East"
"21",275000,2009-07-17,2009,143.08,"E07000177","Cherwell","South East"
"22",160000,2009-12-17,2009,87.29,"E07000177","Cherwell","South East"
"23",175000,2009-05-22,2009,74,"E07000177","Cherwell","South East"
"24",186700,2009-05-15,2009,126.4,"E07000177","Cherwell","South East"
"25",227500,2009-09-18,2009,98.6,"E07000177","Cherwell","South East"
"26",292000,2009-08-14,2009,95.06,"E07000177","Cherwell","South East"
"27",333260,2009-10-12,2009,152.4,"E07000177","Cherwell","South East"
"28",250000,2009-06-30,2009,120.48,"E07000177","Cherwell","South East"
"29",202500,2009-06-05,2009,70.88,"E07000177","Cherwell","South East"
"30",175000,2009-08-07,2009,67.28,"E07000177","Cherwell","South East"
"31",156000,2009-08-21,2009,57.8,"E07000177","Cherwell","South East"
"32",245000,2009-04-24,2009,81.38,"E07000177","Cherwell","South East"
"33",115000,2009-07-03,2009,61.62,"E07000177","Cherwell","South East"
"34",125000,2009-05-22,2009,41,"E07000177","Cherwell","South East"
"35",162000,2009-08-07,2009,80.908,"E07000177","Cherwell","South East"
"36",132000,2009-07-13,2009,76,"E07000177","Cherwell","South East"
"37",197000,2009-04-09,2009,65.62,"E07000177","Cherwell","South East"
"38",115000,2009-09-10,2009,46.2,"E07000177","Cherwell","South East"
"39",153000,2009-02-27,2009,68.67,"E07000177","Cherwell","South East"
"40",245000,2009-08-21,2009,95.9,"E07000177","Cherwell","South East"
"41",185000,2009-09-04,2009,88,"E07000177","Cherwell","South East"
"42",210000,2009-12-11,2009,93.7,"E07000177","Cherwell","South East"
"43",250000,2009-04-15,2009,111.66,"E07000177","Cherwell","South East"
"44",153000,2009-10-05,2009,70.2,"E07000177","Cherwell","South East"
"45",315000,2009-12-02,2009,144.89,"E07000177","Cherwell","South East"
"46",165000,2009-08-28,2009,72,"E07000177","Cherwell","South East"
"47",141000,2009-12-01,2009,87.6,"E07000177","Cherwell","South East"
"48",287500,2009-07-01,2009,98.4,"E07000177","Cherwell","South East"
"49",210000,2009-06-26,2009,89,"E07000177","Cherwell","South East"
"50",1e+05,2009-06-19,2009,53,"E07000177","Cherwell","South East"
"51",275000,2009-04-24,2009,122.6,"E07000177","Cherwell","South East"
"52",360000,2009-05-21,2009,104.7,"E07000177","Cherwell","South East"
"53",227000,2009-02-20,2009,95,"E07000177","Cherwell","South East"
"54",170000,2009-10-23,2009,53.94,"E07000177","Cherwell","South East"
"55",175000,2009-08-13,2009,84.071,"E07000177","Cherwell","South East"
"56",170000,2009-06-25,2009,66.5,"E07000177","Cherwell","South East"
"57",174000,2009-09-03,2009,65.937,"E07000177","Cherwell","South East"
"58",107000,2009-03-09,2009,82,"E07000177","Cherwell","South East"
"59",325000,2009-10-28,2009,116.08,"E07000177","Cherwell","South East"
"60",175000,2009-05-07,2009,85.4,"E07000177","Cherwell","South East"
"61",145000,2009-08-18,2009,54.44,"E07000177","Cherwell","South East"
"62",1e+05,2009-10-19,2009,34.71,"E07000177","Cherwell","South East"
"63",249999,2009-01-08,2009,110.6,"E07000177","Cherwell","South East"
"64",102500,2009-06-19,2009,50,"E07000177","Cherwell","South East"
"65",165000,2009-11-25,2009,76.64,"E07000177","Cherwell","South East"
"66",190000,2009-09-23,2009,86.89,"E07000177","Cherwell","South East"
"67",174950,2009-11-06,2009,51,"E07000177","Cherwell","South East"
"68",154000,2009-12-31,2009,82.35,"E07000177","Cherwell","South East"
"69",290000,2009-03-16,2009,100.8,"E07000177","Cherwell","South East"
"70",140000,2009-08-07,2009,94.95,"E07000177","Cherwell","South East"
"71",108000,2009-11-02,2009,82.4,"E07000177","Cherwell","South East"
"72",248000,2009-11-20,2009,73.7,"E07000177","Cherwell","South East"
"73",275000,2009-09-08,2009,103.7,"E07000177","Cherwell","South East"
"74",141000,2009-09-25,2009,83.78,"E07000177","Cherwell","South East"
"75",195000,2009-08-13,2009,80,"E07000177","Cherwell","South East"
"76",2e+05,2009-04-09,2009,104.63,"E07000177","Cherwell","South East"
"77",143000,2009-01-16,2009,89.2,"E07000177","Cherwell","South East"
"78",195000,2009-08-28,2009,81.2,"E07000177","Cherwell","South East"
"79",167000,2009-03-26,2009,59.02,"E07000177","Cherwell","South East"
"80",455000,2009-08-17,2009,157.36,"E07000177","Cherwell","South East"
"81",210000,2009-07-06,2009,78,"E07000177","Cherwell","South East"
"82",165000,2009-01-30,2009,64.76,"E07000177","Cherwell","South East"
"83",130000,2009-10-23,2009,78,"E07000177","Cherwell","South East"
"84",146000,2009-09-09,2009,64.76,"E07000177","Cherwell","South East"
"85",345000,2009-08-24,2009,111,"E07000177","Cherwell","South East"
"86",185000,2009-09-30,2009,76.78,"E07000177","Cherwell","South East"
"87",130000,2009-08-20,2009,79.58,"E07000177","Cherwell","South East"
"88",150000,2009-01-12,2009,58.72,"E07000177","Cherwell","South East"
"89",455000,2009-11-27,2009,186.53,"E07000177","Cherwell","South East"
"90",118500,2009-12-04,2009,42.39,"E07000177","Cherwell","South East"
"91",185500,2009-07-20,2009,133.3,"E07000177","Cherwell","South East"
"92",123000,2009-04-20,2009,63.48,"E07000177","Cherwell","South East"
"93",138000,2009-07-24,2009,70.04,"E07000177","Cherwell","South East"
"94",152000,2009-07-17,2009,84,"E07000177","Cherwell","South East"
"95",250000,2009-06-11,2009,96.44,"E07000177","Cherwell","South East"
"96",165000,2009-06-18,2009,55,"E07000177","Cherwell","South East"
"97",165000,2009-01-30,2009,80.2,"E07000177","Cherwell","South East"
"98",245000,2009-09-03,2009,111.51,"E07000177","Cherwell","South East"
"99",163500,2009-12-03,2009,68.6,"E07000177","Cherwell","South East"
"100",153000,2009-04-09,2009,79.77,"E07000177","Cherwell","South East"
"101",245000,2009-11-12,2009,82,"E07000177","Cherwell","South East"
"102",181000,2009-11-12,2009,55.48,"E07000177","Cherwell","South East"
"103",345000,2009-10-23,2009,161.34,"E07000177","Cherwell","South East"
"104",233000,2009-12-04,2009,54.61,"E07000177","Cherwell","South East"
"105",125000,2009-03-27,2009,76.6,"E07000177","Cherwell","South East"
"106",131500,2009-07-31,2009,68,"E07000177","Cherwell","South East"
"107",198000,2009-10-30,2009,84.5,"E07000177","Cherwell","South East"
"108",310000,2009-11-27,2009,81,"E07000177","Cherwell","South East"
"109",565000,2009-11-27,2009,185,"E07000177","Cherwell","South East"
"110",168000,2009-07-09,2009,97.78,"E07000177","Cherwell","South East"
"111",238000,2009-12-03,2009,109,"E07000177","Cherwell","South East"
"112",150000,2009-06-04,2009,66,"E07000177","Cherwell","South East"
"113",235000,2009-01-09,2009,81,"E07000177","Cherwell","South East"
"114",161000,2009-10-26,2009,76.16,"E07000177","Cherwell","South East"
"115",157000,2009-10-09,2009,64,"E07000177","Cherwell","South East"
"116",2e+05,2009-09-16,2009,56.2,"E07000177","Cherwell","South East"
"117",2e+05,2009-09-16,2009,56.2,"E07000177","Cherwell","South East"
"118",197500,2009-10-08,2009,92.1,"E07000177","Cherwell","South East"
"119",315000,2009-06-19,2009,114.2,"E07000177","Cherwell","South East"
"120",161000,2009-06-30,2009,54.42,"E07000177","Cherwell","South East"
"121",169000,2009-07-28,2009,67.16,"E07000177","Cherwell","South East"
"122",247500,2009-10-23,2009,88.5,"E07000177","Cherwell","South East"
"123",107000,2009-06-12,2009,83.2,"E07000177","Cherwell","South East"
"124",249950,2009-12-10,2009,86.759,"E07000177","Cherwell","South East"
"125",122500,2009-06-01,2009,46.229,"E07000177","Cherwell","South East"
"126",485000,2009-07-30,2009,185.8,"E07000177","Cherwell","South East"
"127",160000,2009-12-17,2009,46.58,"E07000177","Cherwell","South East"
